Attr1;Attr2;Attr3;Attr4;Attr5;Attr6;Attr7;Attr8;Attr9;Attr10;Attr11;Attr12;Attr13;Attr14;Attr15;Attr16;Attr17;Attr18;Attr19;Attr20;Attr22;Attr23;Attr24;Attr25;Attr26;Attr28;Attr30;Attr31;Attr32;Attr33;Attr34;Attr35;Attr36;Attr38;Attr39;Attr40;Attr41;Attr42;Attr43;Attr44;Attr45;Attr46;Attr47;Attr48;Attr49;Attr50;Attr51;Attr52;Attr53;Attr54;Attr56;Attr57;Attr58;Attr59;Attr60;Attr61;Attr62;Attr63;Attr64;Class;Sample
0,065755;0,14119;0,25953;2,8381;24,226;0,32854;0,072943;6,0671;1,0892;0,85664;0,072943;0,51661;0,085459;0,072943;641,51;0,56897;7,0824;0,072943;0,077595;76,876;0,079216;0,069948;0,33572;0,85664;0,51806;0,43307;0,13436;0,077595;59,711;6,1128;0,56104;0,079216;0,95064;0,85664;0,084267;0,13347;0,053598;0,084267;148,27;71,398;0,33211;1,4358;83,731;0,071823;0,076403;2,8381;0,14119;0,16359;1,4295;1,4295;0,081868;0,076759;0,91813;0;4,7479;5,1122;54,823;6,6578;1,5686;NB;U
0,032789;0,43109;0,16366;1,5205;-30,949;0,014943;0,043937;1,3197;0,692476;0,56891;0,056278;0,13974;0,096966;0,043937;2478;0,1473;2,3197;0,043937;0,067096;90,614;0,030517;0,050071;0,091501;0,53605;0,12143;0,31356;0,65831;0,067096;209,19;1,748;1,2749;0,10625;0,65484;0,68559;0,16225;0,14812;0,28695;0,046603;228,4495;149,9;0,20169;1,0035;107,97;0,010957;0,016733;1,109;0,31441;0,57209;1,09;1,3136;0,16225;0,057634;0,80625;0,20509;4,0281;2,435;175,25;2,0828;1,2547;NB;U
0,085346;0,53269;-0,093207;0,81323;-25,155;0;0,085346;0,87728;2,1868;0,46731;0,099615;0,17102;0,047139;0,085346;1886,1;0,19352;1,8773;0,085346;0,039027;6,1609;0,099333;0,039027;0,39828;0,33178;0,19352;-0,15687;0,24245;0,044122;87,186;4,1864;3,9221;0,097613;2,1868;0,48551;0,044637;0,034276;0,15167;0,045423;64,882;58,721;2,3121;0,73926;6,4488;0,081594;0,037311;0,76187;0,49905;0,23887;0,78651;0,81713;0,044637;0,18263;0,96109;0,03894;59,244;6,2158;83,294;4,382;3,6805;NB;U
0,13649;0,43999;0,28819;1,7341;23,517;0,21946;0,176;1,1751;1,1337;0,51702;0,176;0,44836;0,11341;0,176;663,18;0,55038;2,2728;0,176;0,082428;27,155;0,14283;0,063922;0,28694;0,51702;0,46057;0,90266;0,16694;0,082428;76,073;4,798;0,32463;0,14283;2,1769;0,56446;0,066893;0,23983;0,069215;0,066893;100,27;73,118;0,8592;1,3295;30,785;0,076675;0,035909;1,5472;0,39255;0,20842;1,6194;1,768;0,11791;0,26399;0,88209;0,091749;13,441;4,9919;67,103;5,4394;6,688;NB;U
0,000167;0,47858;0,2084;1,4776;-59,745;0,068574;0,002428;1,0182;1,0086;0,48728;0,002428;0,005564;0,037313;0,002428;3571,8;0,10219;2,0895;0,002428;0,001853;113,62;0,018025;0,000127;0,086934;0,48728;0,097465;0,5867;0,33598;0,001853;122,57;2,9779;0,037664;0,018025;1,358;0,52948;0,013753;0,10673;0,24393;0,013753;166,59;52,971;0,000408;0,54262;114,6;-0,028452;-0,021708;1,3473;0,43638;0,33581;1,3718;1,4906;0,00854;0,000342;0,99146;0,086594;3,2125;6,8906;121,52;3,0035;3,6898;NB;U
0,12785;0,35543;0,095256;1,8469;-11,734;0,21015;0,15889;1,7885;1,2173;0,63567;0,15889;1,4127;0,26242;0,15889;555,99;0,65649;2,8135;0,15889;0,17869;42,554;0,16732;0,14378;0,26659;0,63567;0,56916;0,12023;0,39134;0,17869;56,204;6,4942;0,47075;0,16732;0,90564;0,87862;0,18817;0,18168;0,048333;0,18817;76,884;34,33;1,2333;0,92524;51,803;0,092869;0,10445;0,58445;0,11247;0,15398;0,80234;1,109;0,17854;0,20112;0,82146;0,3822;8,5772;10,632;46,17;7,9056;1,1223;NB;U
0,002029;0,17017;0,46828;3,8521;71,047;-0,063571;0,002025;4,6766;0,97222;0,79584;0,002025;0,012333;0,036568;0,002025;1657,6;0,22019;5,8763;0,002025;0,001976;94,536;-0,020502;0,00198;-0,066082;0,79584;0,22022;1,2741;0,1276;0,001976;56,859;6,4194;-0,056105;-0,020502;1,0723;0,80182;-0,020007;0,25143;0,37436;-0,020007;210,58;116,04;0,007645;2,2356;91,91;-0,055948;-0,054598;3,7166;0,16419;0,15578;2,1654;2,1817;-0,028576;0,00255;1,0286;0,007518;3,861;3,1454;58,484;6,241;2,7881;NB;U
0,011962;0,33577;0,25518;1,9275;38,751;0;0,011962;1,9782;1,8039;0,66423;0,012228;0,043475;0,011307;0,011962;6008,5;0,060747;2,9782;0,011962;0,006631;12,92;0;0,006631;0,02453;0,65094;0,060747;0,54332;0,005396;0,013895;60,952;5,9883;4,9071;0,016076;1,8039;0,66423;0,008912;1,2391;1,0729;0;49,4384;25,404;0,18733;1,6954;14,146;-0,008435;-0,004676;1,5794;0,27514;0,16699;1,4142;1,4142;0,08663;0,018009;0,91432;0;28,25;14,368;55,672;6,5563;3,8408;NB;U
0,060764;0,81806;0,15043;2,145;14,405;0;0,062296;0,22241;0,7882;0,18194;0,08369;0,47419;0,14584;0,062296;2597,6;0,14051;1,2224;0,062296;0,079035;54,843;0,083064;0,077092;0,18315;0,17953;0,13864;0,20945;1,000054;0,10542;68,525;5,3265;0,85539;0,088442;0,7882;0,86863;0,11221;0,22385;0,20092;0,10539;116,88;62,034;0,51307;1,2435;61,775;0,030413;0,038585;0,469432;0,13137;0,18774;0,25333;1,2094;0,11221;0,33397;0,92195;1,411275;6,6553;5,8839;60,836;5,9998;1,0975;NB;U
0,12407;0,5846;-0,163267;0,692595;-42,141;0;0,15571;0,71056;2,2086;0,4154;0,18629;0,32421;0,10766;0,15571;897,37;0,40674;1,7106;0,15571;0,0705;5,7196;0,18629;0,056176;0,41344;0,36886;0,35263;-0,24998;0,2645;0,084263;84,968;4,2957;3,529;0,14555;2,2086;0,49992;0,065899;0,050973;0,072613;0,084347;49,4384;40,975;3,5849;0,56724;6,1231;0,10421;0,047185;0,5252;0,48026;0,23279;0,59945;0,72142;0,065899;0,29868;0,931;0,20348;63,816;8,9078;79,369;4,5988;3,1872;NB;U
0,054975;0,46196;0,23046;1,5167;-24,733;0,20653;0,067117;0,95954;1,0476;0,44326;0,067117;0,15047;0,078386;0,067117;1176,7;0,3102;2,1647;0,067117;0,036714;66,322;0,091209;0,030072;0,24082;0,44326;0,28392;0,71242;0,24251;0,036714;93,296;3,9123;0,19744;0,091209;1,8498;0,45918;0,049892;0,070773;0,090731;0,049892;128,77;62,445;0,1655;0,77197;69,48;0,015028;0,008221;1,4644;0,44604;0,25561;1,3702;1,4194;0,045451;0,12402;0,95455;0,035909;5,5035;5,8451;89,056;4,0986;5,6511;NB;U
0,07513;0,091417;0,65497;7,648165;186,876;0,29953;0,093585;9,614475;1,2467;0,891444;0,093585;2,001825;0,25346;0,093585;109,12;2,318185;10,9394;0,093585;0,18856;124,218;0,093165;0,15137;0,37208;0,860861;2,010605;2,1306;0,009969;0,18856;34,481;10,586;2,4771;0,093165;0,545581;0,90114;0,18771;1,109;0,009862;0,18771;228,4495;153,207;0,24875;6,081655;138,848;0,060952;0,12281;6,946005;0,075499;0,094469;3,0094;3,0094;0,19786;0,081209;0,80214;0;2,93837;2,382385;27,659;13,197;1,6145;NB;U
0,020625;0,38264;0,23252;2,2008;-7,704;0;0,027961;1,6134;1,0451;0,61736;0,03427;0,1444;0,085045;0,027961;1571,4;0,23228;2,6134;0,027961;0,026755;87,596;0,029392;0,019736;0,11615;0,57635;0,2131;0,4052;0,36451;0,032792;69,155;5,278;2,6709;0,023078;1,0451;0,67922;0,022083;0,020587;0,14123;0,028125;147,45;59,849;0,082236;0,90557;89,574;-0,031525;-0,030165;1,1137;0,19363;0,18947;1,0758;1,1836;0,022083;0,033409;0,97355;0,10021;4,1668;6,0986;67,628;5,3972;1,8212;NB;U
-0,055334;0,909177;0,21053;1,3636;-54,168;-0,255353;-0,063978;0,077354;0,99839;0,071786;-0,063978;-0,11049;0,009519;-0,063978;8030,315;0,019615;1,09994;-0,063978;-0,033439;91,685;-0,001337;-0,028921;-0,299619;0,06948;0,028925;1,0006;0,46788;-0,033439;110,29;3,3094;-0,00144;-0,001337;1,9182;0,41889;-0,000699;0,067712;0,37754;-0,000699;143,15;51,468;-0,11514;0,53362;91,538;-0,083526;-0,043657;0,85042;0,57905;0,30217;0,3302;1,9908;-0,001612;-0,329713;1,0016;1,411275;3,981;7,0918;110,47;3,3041;9,0927;NB;U
0,18105;0,15977;0,33418;3,0916;76,994;0,449716;0,22754;5,1102;1,2184;0,81649;0,22754;1,4241;0,20317;0,22754;218,48;1,6707;6,2588;0,22754;0,17319;28,319;0,22385;0,1378;0,5584;0,81649;1,3797;0,66037;-0,014383;0,17319;54,081;6,7491;1,401;0,22385;1,3343;0,81649;0,17038;1,1811;0,019955;0,17038;84,8;56,481;1,7761;2,4536;34,504;0,18446;0,1404;3,0916;0,15977;0,14817;1,6135;1,6135;0,17924;0,22174;0,82076;0;12,889;6,4624;44,388;8,223;2,5963;NB;U
0,007459;0,43193;0,28831;1,6675;22,509;0,057005;0,010851;1,3152;0,98672;0,56807;0,010851;0,025123;0,030603;0,010851;1942,9;0,18787;2,3152;0,010851;0,004093;16,798;0,013453;0,002813;0,073572;0,56807;0,18001;1,0305;0,15412;0,004093;58,669;6,2214;0,031146;0,013453;2,7086;0,56807;0,005074;0,060083;0,16957;0,005074;95,574;78,776;0,061123;1,385;16,575;-0,05684;-0,021437;1,6675;0,43193;0,16074;2,0305;2,0305;-0,013454;0,01313;1,0135;0;21,729;4,6334;59,458;6,1388;9,4776;NB;U
0,007459;0,43193;0,28831;1,6675;-73,648;0;0,007459;1,3152;2,6515;0,56807;0,007675;0,017268;0,269038;0,007459;110,76;2,318185;2,3152;0,007459;0,002813;16,798;0;0,002813;0,057004;0,30689;2,010605;1,0305;0,15412;0,006905;255,88;1,4264;1,4264;0,006973;2,6515;0,56807;0,00263;0,060084;0,010169;0;95,574;78,776;0,061123;1,385;72,29;-0,193048;-0,145044;1,6675;0,43193;0,70105;2,0305;2,0305;0,305068;0,013129;0,700755;0;21,729;4,6334;59,458;6,1388;9,4776;NB;U
0,13392;0,3321;0,4328;2,3201;127,51;0,449716;0,13392;2,0111;1,1337;0,6679;0,13392;0,40847;0,14604;0,13392;803,32;0,45436;3,0111;0,13392;0,12961;39,193;0,11671;0,12961;0,51919;0,6679;0,45436;1,8083;0,23299;0,12961;131,3;2,7799;0,35144;0,11671;1,0516;0,67215;0,11296;0,29411;0,08167;0,11296;228,4495;153,207;1,207;1,9817;44,435;0,099736;0,096525;2,2904;0,32785;0,35973;2,7905;2,8083;0,11796;0,20051;0,88204;0,006362;9,3128;2,382385;115,81;3,1516;4,3171;NB;U
0,1031;0,72519;0,20316;1,2801;-3,8145;-0,19335;0,1031;0,37894;1,6336;0,27481;0,11816;0,14216;0,076632;0,1031;2114,4;0,17262;1,3789;0,1031;0,063109;48,976;0,098552;0,063109;0,056416;0,26022;0,17262;2,8355;0,38432;0,071326;172,35;2,1178;2,1178;0,097765;1,6336;0,27481;0,059846;0,13427;0,20037;0,060328;185,67;136,69;0,47033;0,97788;52,093;0,076462;0,046805;1,2801;0,72519;0,47218;3,8355;3,8355;0,059846;0,37516;0,93767;0;7,4527;2,6702;162,03;2,2527;22,801;NB;U
0,007613;0,80335;-0,12592;0,83359;-94,796;0;0,021218;0,24479;2,163;0,19665;0,10928;0,028041;0,022313;0,021218;6075,2;0,06008;1,2448;0,021218;0,009809;66,472;0,080783;0,00352;0,03798;0,10583;0,043144;-0,34101;0,35804;0,026367;132,66;2,7513;2,5914;0,081216;2,163;0,19665;0,037547;0,066254;0,24834;0,037347;97,976;31,505;0,019326;0,325332;69,065;0,053736;0,024843;0,78516;0,75667;0,36346;0,53258;0,53258;0,037547;0,038712;0,99032;0;5,4911;11,585;127,68;2,8586;5,858;NB;U
0,035222;0,54634;0,16376;1,323;-55,508;0,10658;0,047763;0,71788;1,0144;0,3922;0,047763;0,094195;0,056997;0,047763;2194,4;0,16633;1,8304;0,047763;0,029958;86,082;0,070184;0,022092;0,13685;0,3922;0,14337;0,49751;0,33932;0,029958;117,76;3,0995;0,12846;0,070184;1,6449;0,43147;0,044021;0,056787;0,15854;0,044021;146,99;60,905;0,093674;0,58143;87,324;0,027076;0,016983;1,2279;0,50707;0,32264;1,1915;1,3108;0,014224;0,089805;0,98578;0,10012;4,2402;5,993;116,09;3,1442;4,8435;NB;U
0,007381;0,45679;0,21947;1,4805;6,4083;0;0,009113;1,1892;1,3505;0,54321;0,010436;0,01995;0,009437;0,009113;8030,315;0,027902;2,1892;0,009113;0,006748;51,177;0,010099;0,005466;0,26529;0,49948;0,024111;0,67792;0,3262;0,006748;124,27;2,9372;2,9372;0,008844;1,3505;0,54321;0,006549;0,049338;1,0729;0,007478;176,68;125,5;0,038981;1,0659;51,514;0,006467;0,004788;1,4805;0,45679;0,34046;1,6779;1,6779;0,006549;0,013588;0,99326;0;7,1321;2,9083;123,45;2,9566;4,1716;NB;U
0,026631;0,66762;0,21554;1,3245;19,794;0,0277;0,032395;0,44593;1,0179;0,29771;0,032395;0,048765;0,039705;0,032395;2722,5;0,13407;1,4979;0,032395;0,014371;14,418;0,03913;0,011814;0,061018;0,29771;0,12543;1,7939;0,25449;0,014371;109,48;3,3338;0,058611;0,03913;2,2618;0,30102;0,017358;0,15325;0,22807;0,017358;125,98;111,56;0,29907;1,1904;14,675;-0,01798;-0,007976;1,3179;0,66431;0,29996;2,4778;2,5053;0,017541;0,089452;0,98246;0,01112;25,316;3,2717;107,56;3,3934;18,762;NB;U
-0,12221;0,909177;-0,005585;0,98686;-113,45;-0,255353;-0,12801;0,077354;1,1606;0,071786;-0,103085;-0,277309;-0,06363;-0,12801;-1695,2;-0,126267;1,09994;-0,12801;-0,112564;66,086;-0,081914;-0,102722;-0,299619;-0,030869;-0,126917;-0,009621;1,000054;-0,090276;196,96;1,9266;0,63223;0,307578;1,1606;0,26159;0,222054;0,14273;-0,204356;-0,069043;112,86;46,775;-1,069795;0,49258;93,644;-0,193048;-0,145044;0,469432;0,42515;0,51905;0,176913;0,530704;0,305068;0,586253;0,79713;0;5,5231;7,8034;133,7;2,73;1,9996;NB;U
0,12204;0,41099;0,1752;1,498;6,6445;0,449716;0,15282;1,4331;1,1916;0,58901;0,15282;0,43442;0,13588;0,15282;828,09;0,44078;2,4331;0,15282;0,11462;40,005;0,15631;0,091539;0,78503;0,58901;0,3659;0,37037;0,30247;0,11462;114,75;3,1807;0,38033;0,15631;1,3464;0,64823;0,11724;0,047362;0,073177;0,11724;139,71;99,701;0,83519;1,0826;47,669;0,12798;0,095989;1,2822;0,35177;0,31439;1,2452;1,3704;0,16077;0,2072;0,83923;0,10054;9,1238;3,6609;96,304;3,7901;2,8185;NB;U
0,094388;0,49632;0,1078;1,2172;8,8527;0;0,11653;1,0148;2,3905;0,50368;0,11916;0,23479;0,081851;0,11653;925,86;0,39423;2,0148;0,11653;0,048747;7,3665;0,11916;0,039485;0,47659;0,38604;0,34962;0,27231;0,19189;0,048747;79,453;4,5939;4,5939;0,11042;2,3905;0,50368;0,046193;0,086752;0,08343;0,04985;85,668;78,302;1,9564;1,12;7,7232;0,040031;0,016746;1,2172;0,49632;0,21768;1,2723;1,2723;0,046193;0,1874;0,95143;0;49,549;4,6614;75,783;4,8164;6,0384;NB;U
0,057715;0,63569;0,23285;1,3663;-13,252;0;0,067803;0,57308;3,069865;0,36431;0,08171;0,10666;0,028091;0,067803;2420,9;0,15077;1,5731;0,067803;0,019872;37,543;0,076968;0,016915;0,048578;0,25819;0,1349;1,7714;0,15756;0,02241;70,116;5,2057;5,2057;0,10276;3,264485;0,36431;0,030117;0,15853;0,20179;0,022558;82,133;44,59;0,16446;0,81422;38,709;0,048927;0,01434;1,3663;0,63569;0,1921;2,7714;2,7714;0,030117;0,15843;0,98036;0;9,7222;8,1857;68,004;5,3673;25,956;NB;U
0,250675;0,48356;0,20483;2,2936;21,131;0,449716;0,297982;1,0539;1,2815;0,50961;0,305492;2,001825;0,23143;0,297982;355,38;1,0271;2,068;0,297982;0,202201;18,166;0,291465;0,172698;0,50262;0,50961;1,0271;0,32164;0,22447;0,21409;34,515;10,575;0,99266;0,307578;2,1679;0,83482;0,222054;0,023923;0,030737;0,194324;61,128;42,962;4,3018;1,6191;23,28;0,267378;0,16307;0,75105;0,15835;0,094562;0,80024;1,3109;0,21969;0,586253;0,78031;0,63816;20,093;8,4958;26,933;13,552;3,3698;NB;U
0,069014;0,909177;-0,163267;0,7086;-140,89;-0,255353;0,069014;0,077354;1,8989;0,071786;0,093532;0,078736;0,067906;0,069014;2889,4;0,12632;1,09994;0,069014;0,036345;102,75;0,09353;0,036345;-0,299619;-0,030869;0,12632;-0,343879;0,53745;0,048911;153,29;2,3811;2,0447;-0,081914;1,8989;0,166368;-0,069571;0,009881;0,22172;0,049255;118,7;21,56805;0,12911;0,325332;93,478;0,033599;0,017694;0,60848;0,792832;0,41997;0,176913;0,530704;-0,075569;-0,329713;0,9688;0;3,5525;16,92325;168,49;2,1663;5,0117;NB;U
0,0276;0,85121;0,021854;1,0263;-9,9878;-0,058814;0,026613;0,12588;1,0412;0,10715;0,026613;0,032033;0,028542;0,026613;7290,1;0,050068;1,1748;0,026613;0,017823;13,98;0,050191;0,018484;-0,059801;0,10715;0,051227;0,14832;0,53183;0,017823;211,46;1,7261;0,058965;0,050191;1,5005;0,166368;0,033613;0,073528;0,42276;0,033613;193,49;153,207;0,48258;0,95746;14,557;0,034186;0,022894;1,0017;0,792832;0,57933;0,7272;0,86572;0,039604;0,25759;0,9604;0,1905;26,108;2,382385;203,08;1,7973;10,134;NB;U
0,033415;0,86835;0,11873;1,177;-29,214;0;0,041568;0,15161;1,3189;0,13165;0,053325;0,061976;0,037301;0,041568;6442,4;0,056656;1,1516;0,041568;0,031516;60,214;0,053277;0,025335;0,084751;0,12384;0,047267;0,56384;0,64687;0,04043;193,57;1,8857;1,4565;0,054227;1,3189;0,23112;0,041114;0,027305;0,47523;0,040394;213,4;153,18;0,15357;0,8526;62,796;0,045648;0,034609;0,90912;0,6707;0,53032;0,62521;1,0976;0,041114;0,25381;0,96858;0,75556;6,0617;2,3828;185,61;1,9665;6,2637;NB;U
0,13012;0,4122;0,38633;1,9631;28,259;0;0,16802;1,426;3,069865;0,5878;0,24958;0,41887;0,07449;0,16802;650,72;0,56092;2,426;0,16802;0,054133;19,609;0,24739;0,041922;0,64298;0,54245;0,46897;1,8177;0,10135;0,058317;51,528;7,0836;6,8935;0,26241;3,1039;0,5878;0,084543;0,24703;0,044239;0,079705;80,949;61,339;0,78032;1,5474;21,42;0,18421;0,059347;1,9104;0,40114;0,14117;2,7657;2,7657;0,084543;0,22137;0,94591;0;18,614;5,9505;47,171;7,7377;14,604;NB;U
0,057798;0,69337;0,038572;1,0731;-15,304;0,12461;0,079493;0,44194;1,0606;0,30643;0,079493;0,15058;0,065805;0,079493;1868;0,19539;1,4422;0,079493;0,038612;19,755;0,10222;0,028074;0,17679;0,30643;0,1641;0,088975;0,32321;0,038612;99,262;3,6771;0,14742;0,10222;2,069;0,47188;0,04965;0,066758;0,14409;0,04965;94,184;74,429;0,5187;0,86199;20,952;0,046232;0,022456;0,81701;0,52792;0,27195;0,70684;1,0885;0,057104;0,18862;0,9429;0,53995;18,476;4,904;93,594;3,8998;4,7491;NB;U
-0,11531;0,909177;0,12521;1,1635;-46,922;-0,059822;-0,12527;0,077354;0,96533;0,071786;-0,103085;-0,16354;-0,06363;-0,12527;-3117,2;-0,11709;1,09994;-0,12527;-0,090144;4,92349;-0,081914;-0,082977;-0,054857;0,032901;-0,10635;1,1506;0,51336;-0,090144;194,21;1,8794;-0,056105;-0,081914;1,4046;0,19381;-0,069571;0,66217;-0,204356;-0,069043;100,86;96,404;-1,069795;1,1413;4,78758;-0,13842;-0,099608;0,96148;0,76596;0,53208;0,30233;1,781;-0,035914;-0,329713;1,0359;1,411275;74,136;3,7862;201,18;1,8143;12,769;NB;U
-0,020642;0,909177;0,30287;2,0242;4,7839;-0,055444;-0,023699;0,077354;1,0738;0,071786;-0,023699;-0,08014;0,007554;-0,023699;8030,315;0,010944;1,09994;-0,023699;-0,01686;69,445;0,091061;-0,014685;-0,025366;0,011645;0,014095;0,75451;0,62976;-0,01686;82,454;4,4267;0,093857;0,091061;1,4186;0,68613;0,064784;0,35002;0,25441;0,064784;128,56;59,115;-0,077186;1,1198;74,567;0,056744;0,040369;0,61697;0,29572;0,2259;0,176913;1,7093;0,068692;-0,329713;0,93131;1,411275;5,256;6,1745;76,79;4,7532;3,5017;NB;U
